,(GWh),Share of final consumption
Combined heat and power plant *,3033.9,64.6
Hydroelectric plants ,479.9,10.2
Hydropower pumped storage ,575.6,12.3
Wind turbines,475,10.1
Solar plants,0.1,0
Other plants **,257.1,5.5
Total gross production,4821.6,102.7
