,Germany,Lithuania,United Kingdom
1990,48,0,10
1991,110,0,14
1992,183,0,50
1993,334,0,131
1994,643,0,153
1995,1137,0,200
1996,1564,0,238
1997,1966,0,322
1998,2672,0,331
1999,4138,0,357
2000,6095,0,412
2001,8754,0,427
2002,12001,0,534
2003,14609,0,742
2004,16629,1,933
2005,18428,1,1565
2006,20622,31,1955
2007,22247,47,2477
2008,23895,54,3406
2009,25777,98,4424
2010,27209,133,5378
