"","Year","Price3","Volume3"
"1",2012,7.50870276367738,23076000
"2",2011,12.9652916666667,40628000
"3",2010,14.2582313238227,238427000
"4",2009,13.0030716302619,1069043000
"5",2008,19.8779057377049,247491000
"6",2007,1.69172077922078,23703000
"7",2006,16.1867004909984,31028000
"8",2005,22.3288636363636,4362000
