,Average Price
2002/2003,47.11333333
2003/2004,47.6775
2004/2005,47.86
2005/2006,40.9875
2006/2007,44.7775
2007/2008,49.6825
2008/2009,52.2675
2009/2010,48.4775
2010/2011,48.87272727
2011/2012,44.43416667
