,Average price
2001/2002,4.575
2002/2003,6.53
2003/2004,6.48
2004/2005,7.03
2005/2006,8.765
2006/2007,8.795
2007/2008,9.85
2008/2009,11.445
2009/2010,8.875
2010/2011,9.495
2011/2012,9.735
