"","Year","Price"
"1",2012,8.15637272727273
"2",2011,14.1258267716535
"3",2010,15.2588941176471
"4",2009,14.166431372549
"5",2008,22.5174699828473
"6",2007,10.7831809338521
"7",2006,17.125637254902
