"","UK.PMT"
"2002",7.57278199346392
"2003",7.54286093373876
"2004",7.4895285138269
"2005",7.45604037999628
"2006",7.17784717712337
"2007",6.74328178400337
"2008",6.52620756723427
"2009",5.89631942828081
"2010",5.47681656955391
"2011",5.0656948192471
"2012",4.59690046192025
"2013",4.13360320773459
"2014",3.7039800238999
"2015",3.30831231644926
"2016",2.94697061678566
"2017",2.62042004218672
"2018",2.32922623272133
"2019",2.07406180178705
"2020",1.85571334047324
"2021",1.67508901919183
