,Germany,Lithuania,United Kingdom
1997,1.5,10.3,1.8
1998,0.6,5.4,1.6
1999,0.6,1.5,1.3
2000,1.4,1.1,0.8
2001,1.9,1.6,1.2
2002,1.4,0.3,1.3
2003,1,-1.1,1.4
2004,1.8,1.2,1.3
2005,1.9,2.7,2.1
2006,1.8,3.8,2.3
2007,2.3,5.8,2.3
2008,2.8,11.1,3.6
2009,0.2,4.2,2.2
2010,1.2,1.2,3.3
2011,2.5,4.1,4.5
