,Germany,Lithuania,United Kingdom
1990,71,0,9
1991,215,0,11
1992,291,0,40
1993,674,0,218
1994,1428,0,342
1995,1712,0,391
1996,2078,0,488
1997,3034,0,667
1998,4593,0,877
1999,5528,0,850
2000,9352,0,947
2001,10456,0,965
2002,15856,0,1256
2003,18859,0,1285
2004,25509,1,1935
2005,27229,2,2904
2006,30710,14,4225
2007,39713,106,5274
2008,40574,131,7097
2009,38639,158,9304
2010,37793,224,10183
