,Pound sterling
1990,0.713851
1991,0.701012
1992,0.73765
1993,0.779988
1994,0.775902
1995,0.828789
1996,0.813798
1997,0.692304
1998,0.676434
1999,0.65874
2000,0.60948
2001,0.62187
2002,0.62883
2003,0.69199
2004,0.67866
2005,0.6838
2006,0.68173
2007,0.68434
2008,0.79628
2009,0.89094
2010,0.85784
2011,0.86788
2012,0.81292
2013,0.80371
