,Emission Factor
1990,0.79806
1991,0.79806
1992,0.73116
1993,0.65316
1994,0.64316
1995,0.6065
1996,0.57403
1997,0.52808
1998,0.53306
1999,0.49961
2000,0.5293
2001,0.54581
2002,0.52717
2003,0.54443
2004,0.54668
2005,0.5303
2006,0.55998
2007,0.54764
2008,0.54118
2009,0.49022
2010,0.49677
