,Germany,Lithuania,United Kingdom
1995,90.57,,
1996,89.83,,93.65
1997,91,,92.21
1998,90.73,76.34,90.63
1999,90,77.7,89.71
2000,89.56,90.15,90.42
2001,94.62,87.37,90.53
2002,92.9,84.89,90.15
2003,95.7,84.46,90.33
2004,96.87,89.65,92.68
2005,100,100.04,100.03
2006,104.01,107.46,106.44
2007,105.28,115.06,108.15
2008,109.64,135.89,124.06
2009,105.97,117.81,123.31
2010,108.2,129.99,129.21
2011,113.46,147.93,141.01
