,Index der Einzelhandelspreise
1991,89.6
1992,91.9
1993,93.9
1994,94.8
1995,95.4
1996,96.2
1997,96.7
1998,97.1
1999,97.3
2000,97.4
2001,98.4
2002,99.1
2003,99.3
2004,99.6
2005,100
2006,100.9
2007,103.2
2008,105.6
2009,105.5
2010,106.7
2011,108.6
